City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hami,CN,2023-01-22 17:21:06,42.8,93.45,10.6,34,0,9.69
68,Bredasdorp,ZA,2023-01-22 17:21:06,-34.5322,20.0403,70.72,62,64,11.7
69,Ribeira Grande,PT,2023-01-22 17:21:07,38.5167,-28.7,63.0,72,20,15.01
70,Boa Vista,BR,2023-01-22 17:16:32,2.8197,-60.6733,85.98,54,75,11.5
71,Mombetsu,JP,2023-01-22 17:21:07,44.3525,143.3525,13.35,81,81,10.25
72,Esperance,AU,2023-01-22 17:21:08,-33.8667,121.9,63.45,67,5,13.51
73,Airai,TL,2023-01-22 17:20:59,-8.9266,125.4092,61.03,93,100,0.87
74,Lebu,CL,2023-01-22 17:21:08,-37.6167,-73.65,65.98,74,2,14.16
75,Nodeland,NO,2023-01-22 17:21:09,58.1552,7.8358,32.7,86,75,2.3
76,Butaritari,KI,2023-01-22 17:21:09,3.0707,172.7902,80.51,74,84,15.17
77,Tahe,CN,2023-01-22 17:21:09,52.3333,124.7333,-28.48,94,100,4.41
78,Cidreira,BR,2023-01-22 17:21:10,-30.1811,-50.2056,81.36,64,77,7.31
79,Kavieng,PG,2023-01-22 17:21:10,-2.5744,150.7967,80.92,76,100,10.54
80,Floro,NO,2023-01-22 17:21:10,61.5996,5.0328,39.16,70,75,28.77
81,Chokurdakh,RU,2023-01-22 17:21:11,70.6333,147.9167,-42.61,99,76,6.51
82,Merauke,ID,2023-01-22 17:21:11,-8.4667,140.3333,78.01,89,100,8.9
83,Bhilwara,IN,2023-01-22 17:21:12,25.35,74.6333,56.52,43,0,4.92
84,Amapa,BR,2023-01-22 17:21:12,1.0,-52.0,76.46,96,78,4.43
85,Kushmurun,KZ,2023-01-22 17:21:12,52.4503,64.6311,8.08,91,58,7.47
86,Quatre Cocos,MU,2023-01-22 17:21:13,-20.2078,57.7625,79.09,81,100,7.43
87,Sohagpur,IN,2023-01-22 17:20:37,22.7,78.2,67.78,50,45,2.08
88,Port Hawkesbury,CA,2023-01-22 17:21:13,45.6169,-61.3485,33.19,84,40,11.5
89,Fortuna,US,2023-01-22 17:21:13,40.5982,-124.1573,44.98,85,0,12.66
90,Ilulissat,GL,2023-01-22 17:21:14,69.2167,-51.1,6.82,56,100,2.3
91,Avarua,CK,2023-01-22 17:21:14,-21.2078,-159.775,75.25,94,20,2.3
92,Tautira,PF,2023-01-22 17:22:15,-17.7333,-149.15,79.43,71,100,8.75
93,Mataura,NZ,2023-01-22 17:22:15,-46.1927,168.8643,46.85,76,95,2.06
94,Nishihara,JP,2023-01-22 17:22:15,26.1842,127.7558,65.48,97,100,20.71
95,Ugoofaaru,MV,2023-01-22 17:22:16,5.6667,73.0,80.37,71,96,12.44
96,Chifeng,CN,2023-01-22 17:22:16,42.2683,118.9636,-0.78,92,100,10.89
97,Faanui,PF,2023-01-22 17:22:17,-16.4833,-151.75,79.7,72,98,7.14
98,Longyearbyen,SJ,2023-01-22 17:22:17,78.2186,15.6401,28.24,74,75,8.05
99,Wattegama,LK,2023-01-22 17:22:17,6.7989,81.4808,71.1,95,100,4.29
100,Thurso,GB,2023-01-22 17:22:18,58.5927,-3.5259,45.86,85,100,10.89
101,Hobart,AU,2023-01-22 17:22:18,-42.8794,147.3294,60.26,89,40,0.0
102,Bengkulu,ID,2023-01-22 17:22:18,-3.8004,102.2655,73.9,95,100,4.27
103,Port Lincoln,AU,2023-01-22 17:22:19,-34.7333,135.8667,61.09,83,13,12.88
104,Barrow,US,2023-01-22 17:22:19,71.2906,-156.7887,-2.18,78,100,10.36
105,Puerto Escondido,MX,2023-01-22 17:18:22,15.85,-97.0667,86.83,48,0,0.0
106,Middleton,GB,2023-01-22 17:19:08,53.55,-2.2,39.58,87,100,3.8
107,Adre,TD,2023-01-22 17:22:20,13.4667,22.2,78.66,15,1,8.03
108,Grootfontein,NA,2023-01-22 17:22:20,-19.5667,18.1167,81.97,44,89,4.61
109,Thompson,CA,2023-01-22 17:22:20,55.7435,-97.8558,10.56,92,100,3.44
110,Hasaki,JP,2023-01-22 17:22:21,35.7333,140.8333,40.21,67,100,11.03
111,Nanortalik,GL,2023-01-22 17:22:21,60.1432,-45.2371,22.28,58,3,9.35
112,Nikolskoye,RU,2023-01-22 17:22:22,59.7035,30.7861,24.69,98,56,3.31
113,Mandalgovi,MN,2023-01-22 17:22:22,45.7625,106.2708,-20.38,55,47,18.99
114,Bambanglipuro,ID,2023-01-22 17:22:22,-7.95,110.2833,76.35,89,100,6.11
115,Chengde,CN,2023-01-22 17:22:23,40.9725,117.9361,15.01,92,100,5.59
116,Poum,NC,2023-01-22 17:22:23,-20.2333,164.0167,79.63,82,92,6.76
117,San Lorenzo,PY,2023-01-22 17:22:24,-25.3333,-57.5333,83.34,74,75,12.66
118,Yurty,RU,2023-01-22 17:22:24,56.0498,97.6348,-40.59,99,40,3.71
119,Maniitsoq,GL,2023-01-22 17:22:24,65.4167,-52.9,26.42,73,100,23.78
120,Tuktoyaktuk,CA,2023-01-22 17:22:25,69.4541,-133.0374,5.0,85,100,3.44
121,Caravelas,BR,2023-01-22 17:22:25,-17.7125,-39.2481,87.82,60,95,8.66
122,Praia Da Vitoria,PT,2023-01-22 17:22:25,38.7333,-27.0667,62.85,72,75,14.32
123,Ballina,AU,2023-01-22 17:22:26,-28.8667,153.5667,67.01,98,42,3.42
124,Kendari,ID,2023-01-22 17:22:26,-3.945,122.4989,75.58,93,100,2.8
125,San Patricio,US,2023-01-22 17:22:27,28.017,-97.5169,62.91,29,0,11.95
126,Arlit,NE,2023-01-22 17:22:27,18.7369,7.3853,79.3,9,3,4.97
127,Acapulco,MX,2023-01-22 17:20:51,16.8634,-99.8901,84.02,45,0,3.44
128,San Jeronimo,PE,2023-01-22 17:22:27,-11.9472,-75.2829,59.47,55,97,5.17
129,Severo-Kurilsk,RU,2023-01-22 17:22:28,50.6789,156.125,11.41,67,94,4.03
130,Fairbanks,US,2023-01-22 17:22:28,64.8378,-147.7164,-20.2,76,100,0.0
131,Tiksi,RU,2023-01-22 17:22:28,71.6872,128.8694,-18.69,89,100,4.41
132,Vuktyl,RU,2023-01-22 17:22:29,63.8567,57.3094,10.35,97,99,3.83
133,Ambilobe,MG,2023-01-22 17:22:29,-13.2,49.05,73.26,95,100,4.85
134,Ribeirao Pires,BR,2023-01-22 17:22:30,-23.7106,-46.4133,85.15,48,96,10.38
135,Salinas,US,2023-01-22 17:21:03,36.6777,-121.6555,52.79,77,0,0.0
136,Puerto Ayora,EC,2023-01-22 17:19:24,-0.7393,-90.3518,82.36,91,86,7.0
137,Beringovskiy,RU,2023-01-22 17:23:30,63.05,179.3167,-4.2,96,100,13.53
138,Uryupinsk,RU,2023-01-22 17:23:31,50.8047,42.0138,20.61,87,100,9.8
139,Port Macquarie,AU,2023-01-22 17:23:31,-31.4333,152.9167,63.9,93,44,3.8
140,Gitega,BI,2023-01-22 17:23:31,-3.5,29.95,62.08,83,100,0.81
141,Hay River,CA,2023-01-22 17:23:32,60.8156,-115.7999,6.78,78,75,13.8
142,Coos Bay,US,2023-01-22 17:20:32,43.3665,-124.2179,41.14,99,75,5.75
143,Henties Bay,NA,2023-01-22 17:23:32,-22.116,14.2845,67.86,78,64,7.07
144,Yar-Sale,RU,2023-01-22 17:23:33,66.8333,70.8333,17.74,96,100,8.48
145,East London,ZA,2023-01-22 17:23:33,-33.0153,27.9116,72.54,94,100,10.36
146,Monte Alegre,BR,2023-01-22 17:23:33,-2.0078,-54.0692,84.97,64,65,4.7
147,Broome,US,2023-01-22 17:23:34,42.2506,-75.833,35.85,78,100,11.5
148,Talnakh,RU,2023-01-22 17:23:34,69.4865,88.3972,-11.16,78,78,4.61
149,Eirunepe,BR,2023-01-22 17:23:34,-6.6603,-69.8736,82.31,78,80,1.43
150,Manggar,ID,2023-01-22 17:23:35,-2.8833,108.2667,78.01,85,94,5.99
151,Fairview,US,2023-01-22 17:23:35,40.8126,-73.999,42.42,59,0,12.66
152,Isilkul,RU,2023-01-22 17:23:35,54.9109,71.2728,17.69,89,100,13.62
153,Margate,GB,2023-01-22 17:21:08,51.3813,1.3862,40.69,74,41,5.99
154,Lemon Tree Passage,AU,2023-01-22 17:23:36,-32.7327,152.036,64.83,97,95,7.74
155,Vanavara,RU,2023-01-22 17:23:36,60.34,102.2797,-47.04,100,83,3.83
156,Bonthe,SL,2023-01-22 17:23:36,7.5264,-12.505,83.55,59,44,13.82
157,Mengcheng,CN,2023-01-22 17:23:37,33.2579,116.5655,37.78,88,6,4.56
158,Cabo San Lucas,MX,2023-01-22 17:23:37,22.8909,-109.9124,71.51,62,0,3.44
159,Poya,NC,2023-01-22 17:23:37,-21.35,165.15,77.49,91,100,3.49
160,Tessalit,ML,2023-01-22 17:23:38,20.1986,1.0114,80.89,9,0,9.62
161,Emba,KZ,2023-01-22 17:23:38,48.8264,58.1442,8.37,73,0,5.86
162,Khasan,RU,2023-01-22 17:23:38,42.4308,130.6434,15.21,91,100,6.89
163,Torbay,CA,2023-01-22 17:23:39,47.6666,-52.7314,30.88,92,100,23.02
164,Adrar,MR,2023-01-22 17:23:39,20.5022,-10.0711,77.47,11,0,10.8
165,Charagua,BO,2023-01-22 17:23:39,-19.8,-63.2167,96.37,28,96,8.75
166,Grand Gaube,MU,2023-01-22 17:23:40,-20.0064,57.6608,79.38,79,100,10.22
